,x1,x2,x3,x4,x5,y1,y2,y3,y4,y5,y6,y7
x1,1,0.49,0.53,0.49,0.51,0.33,0.32,0.2,0.19,0.3,0.37,0.21
x2,0.49,1,0.57,0.46,0.53,0.3,0.21,0.16,0.08,0.27,0.35,0.2
x3,0.53,0.57,1,0.48,0.57,0.31,0.23,0.14,0.07,0.24,0.37,0.18
x4,0.49,0.46,0.48,1,0.57,0.24,0.22,0.12,0.19,0.21,0.29,0.16
x5,0.51,0.53,0.57,0.57,1,0.38,0.32,0.17,0.23,0.32,0.36,0.27
y1,0.33,0.3,0.31,0.24,0.38,1,0.43,0.27,0.24,0.34,0.37,0.4
y2,0.32,0.21,0.23,0.22,0.32,0.43,1,0.33,0.26,0.54,0.32,0.58
y3,0.2,0.16,0.14,0.12,0.17,0.27,0.33,1,0.25,0.46,0.29,0.45
y4,0.19,0.08,0.07,0.19,0.23,0.24,0.26,0.25,1,0.28,0.3,0.27
y5,0.3,0.27,0.24,0.21,0.32,0.34,0.54,0.46,0.28,1,0.35,0.59
y6,0.37,0.35,0.37,0.29,0.36,0.37,0.32,0.29,0.3,0.35,1,0.31
y7,0.21,0.2,0.18,0.16,0.27,0.4,0.58,0.45,0.27,0.59,0.31,1
